Timestamp,What best describes your current student status?  ,Which year of your academic program are you currently enrolled in? ,Which of these best describes your area of study?,"In the past year, how much time did you spend on each responsibility? [Work - not including academic work]","In the past year, how much time did you spend on each responsibility? [Caring]","In the past year, how much time did you spend on each responsibility? [Volunteering]","In the past year, how much time did you spend on each responsibility? [Extra-Curricular activities]","In the past year, how much time did you spend on each responsibility? [Societies / Clubs]","In the past year, how much time did you spend on each responsibility? [Other]",Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Study time for exams ],"Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Timetabled activities attendance (this includes but is not limited to: Lectures, labs and seminars)]",Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Coursework time ],Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Time to socialise],Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Time to engage with student societies and sports],Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Grades ],I get adequate mental health support from my university,To what extent are you satisfied with the scheduling support from the university  ,To what extent do you feel supported by your universities career support services,How satisfactory is the academic support from your university ?,I have a strong social life with many close friends at university,To what extent do you agree or disagree with the following: Financially things are a bit of a struggle for me now,Which gender do you identify with? ,What is your age?
10/26/2023 9:26:58,Full time - Postgraduate,Year 3,Accounting and Finance,8 – 16,0/this is not applicable to me,0/this is not applicable to me,8 – 16,0/this is not applicable to me,0/this is not applicable to me,6,6,6,4,3,6,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel somewhat supported,Somewhat satisfied,Tend to agree,Neither agree nor disagree,Male,24 - 30
10/26/2023 9:32:37,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,<8,<8,0/this is not applicable to me,2,3,1 - most impacted,4,3,1 - most impacted,Neither Agree nor Disagree,Somewhat satisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Tend to agree,Strongly disagree,Female,18 - 24
10/26/2023 9:40:16,Part time - Undergraduate,Year 3,Other,8 – 16,8 – 16,24 – 32,8 – 16,40+,16 – 24,5,4,3,4,5,4,Strongly Agree,Somewhat satisfied,I feel very supported,Somewhat satisfied,Strongly agree,Tend to agree,Male,18 - 24
10/26/2023 13:17:36,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",8 – 16,0/this is not applicable to me,<8,8 – 16,8 – 16,0/this is not applicable to me,1 - most impacted,5,3,1 - most impacted,2,2,Strongly Disagree,Strongly dissatisfied,I feel like the support is somewhat inadequate,Dissatisfied,Tend to agree,Tend to agree,Male,18 - 24
10/26/2023 16:20:08,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",16 – 24,0/this is not applicable to me,0/this is not applicable to me,8 – 16,<8,0/this is not applicable to me,5,3,3,3,3,3,Neither Agree nor Disagree,Dissatisfied,I feel neither supported nor un supported,Dissatisfied,Tend to agree,Tend to disagree,Male,18 - 24
10/26/2023 16:20:31,Full time - Undergraduate,Year 3,Arts & Humanities,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,<8,<8,0/this is not applicable to me,3,3,3,5,5,3,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel neither supported nor un supported,Somewhat satisfied,Tend to agree,Tend to disagree,Female,18 - 24
10/26/2023 16:54:00,Full time - Postgraduate,Year 1,Other,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,<8,<8,<8,3,4,5,2,5,1 - most impacted,Neither Agree nor Disagree,Somewhat satisfied,I feel somewhat supported,Somewhat satisfied,Tend to disagree,Tend to agree,Female,24 - 30
10/26/2023 19:00:38,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",32 – 40,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,6,3,5,2,1 - most impacted,4,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Tend to agree,Tend to agree,Female,24 - 30
10/26/2023 19:09:16,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",<8,8 – 16,0/this is not applicable to me,<8,<8,8 – 16,1 - most impacted,3,1 - most impacted,1 - most impacted,1 - most impacted,1 - most impacted,Neither Agree nor Disagree,Somewhat satisfied,I feel neither supported nor un supported,Dissatisfied,Neither agree nor disagree,Strongly agree,Female,18 - 24
10/27/2023 9:02:53,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,8 – 16,1 - most impacted,1 - most impacted,2,2,2,2,Agree,Dissatisfied,I feel neither supported nor un supported,Somewhat satisfied,Tend to agree,Neither agree nor disagree,Male,24 - 30
10/28/2023 21:57:39,Full time - Undergraduate,Year 4+,Arts & Humanities,<8,<8,<8,0/this is not applicable to me,<8,<8,2,2,2,3,3,2,Agree,Neither satisfied or dissatisfied,I feel somewhat supported,Somewhat satisfied,Tend to agree,Tend to agree,Female,18 - 24
10/28/2023 22:49:20,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",16 – 24,32 – 40,24 – 32,24 – 32,32 – 40,24 – 32,3,4,3,4,2,5,Neither Agree nor Disagree,Somewhat satisfied,I feel neither supported nor un supported,Somewhat satisfied,Neither agree nor disagree,Strongly disagree,Male,24 - 30
10/28/2023 23:03:47,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,5,3,5,2,1 - most impacted,3,Neither Agree nor Disagree,Somewhat satisfied,I feel somewhat supported,Somewhat satisfied,Neither agree nor disagree,Tend to agree,Male,18 - 24
10/28/2023 23:23:27,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",16 – 24,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,1 - most impacted,1 - most impacted,1 - most impacted,3,2,4,Agree,Dissatisfied,I feel somewhat supported,Neither satisfied or dissatisfied,Tend to disagree,Tend to disagree,Male,24 - 30
10/29/2023 13:30:06,Full time - Postgraduate,Year 1,"STEM (Science, Technology, Engineering and Math)",8 – 16,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,2,3,3,3,1 - most impacted,3,Neither Agree nor Disagree,Somewhat satisfied,I feel very supported,Somewhat satisfied,Neither agree nor disagree,Neither agree nor disagree,Female,30 - 40
10/30/2023 11:01:12,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",16 – 24,16 – 24,8 – 16,24 – 32,16 – 24,8 – 16,3,2,4,3,5,5,Agree,Somewhat satisfied,I feel very supported,Very satisfied,Tend to agree,Tend to agree,Male,18 - 24
10/30/2023 11:08:18,Non-Student,Year 0 - Foundation year,Arts & Humanities,,,,,,,,,,,,,,,,,,,,
10/30/2023 11:31:11,Part time - Postgraduate,Year 1,Other,16 – 24,<8,<8,<8,0/this is not applicable to me,8 – 16,4,6,5,4,5,6,Neither Agree nor Disagree,Somewhat satisfied,I feel very supported,Somewhat satisfied,Neither agree nor disagree,Tend to agree,Prefer not to say,30 - 40
10/30/2023 17:28:37,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",8 – 16,16 – 24,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,8 – 16,4,4,3,3,1 - most impacted,4,Disagree,Somewhat satisfied,I feel somewhat supported,Neither satisfied or dissatisfied,Strongly disagree,Tend to agree,Female,30 - 40
10/30/2023 17:53:10,Non-Student,Year 0 - Foundation year,Other,,,,,,,,,,,,,,,,,,,,
10/31/2023 16:28:32,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,<8,0/this is not applicable to me,8 – 16,0/this is not applicable to me,40+,2,4,2,4,5,5,Agree,Somewhat satisfied,I feel somewhat supported,Somewhat satisfied,Tend to agree,Neither agree nor disagree,Male,18 - 24
10/31/2023 21:42:08,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,<8,<8,24 – 32,0/this is not applicable to me,5,4,5,5,5,6,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel somewhat supported,Somewhat satisfied,Neither agree nor disagree,Tend to disagree,Male,18 - 24
10/31/2023 23:29:31,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",8 – 16,32 – 40,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,1 - most impacted,1 - most impacted,1 - most impacted,4,6,1 - most impacted,Agree,Somewhat satisfied,I feel the support is entirely inadequate,Somewhat satisfied,Tend to agree,Neither agree nor disagree,Male,18 - 24
11/1/2023 2:37:26,Full time - Undergraduate,Year 2,"STEM (Science, Technology, Engineering and Math)",<8,0/this is not applicable to me,<8,<8,<8,0/this is not applicable to me,5,1 - most impacted,6,3,2,4,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Neither agree nor disagree,Tend to disagree,Male,18 - 24
11/1/2023 2:47:16,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",8 – 16,<8,<8,<8,<8,<8,1 - most impacted,1 - most impacted,1 - most impacted,1 - most impacted,1 - most impacted,2,Neither Agree nor Disagree,Strongly dissatisfied,I feel neither supported nor un supported,Very satisfied,Strongly agree,Strongly agree,Female,18 - 24
11/1/2023 7:15:54,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",8 – 16,8 – 16,8 – 16,<8,<8,8 – 16,3,3,3,2,2,3,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel somewhat supported,Very satisfied,Tend to agree,Tend to disagree,Female,18 - 24
11/1/2023 10:40:16,Full time - Undergraduate,Year 2,Accounting and Finance,0/this is not applicable to me,<8,<8,8 – 16,<8,0/this is not applicable to me,2,2,3,2,2,3,Neither Agree nor Disagree,Somewhat satisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Strongly agree,Tend to disagree,Male,18 - 24
11/1/2023 13:16:01,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",40+,0/this is not applicable to me,<8,40+,40+,0/this is not applicable to me,4,4,4,4,4,4,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Tend to disagree,Tend to agree,Male,24 - 30
11/1/2023 15:06:23,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",8 – 16,<8,<8,8 – 16,<8,40+,6,6,3,3,6,6,Neither Agree nor Disagree,Somewhat satisfied,I feel neither supported nor un supported,Dissatisfied,Tend to agree,Tend to disagree,Female,18 - 24
11/1/2023 17:25:49,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,<8,0/this is not applicable to me,8 – 16,<8,0/this is not applicable to me,6,2,3,5,1 - most impacted,4,Agree,Dissatisfied,I feel neither supported nor un supported,Dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Male,18 - 24
11/1/2023 17:30:27,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",40+,0/this is not applicable to me,<8,24 – 32,0/this is not applicable to me,0/this is not applicable to me,6,5,3,4,4,6,Strongly Disagree,Neither satisfied or dissatisfied,I feel like the support is somewhat inadequate,Strongly dissatisfied,Tend to disagree,Neither agree nor disagree,Male,18 - 24
11/1/2023 17:33:33,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",8 – 16,8 – 16,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,<8,2,2,2,1 - most impacted,1 - most impacted,3,Neither Agree nor Disagree,Strongly dissatisfied,I feel the support is entirely inadequate,Neither satisfied or dissatisfied,Neither agree nor disagree,Tend to disagree,Male,24 - 30
11/1/2023 18:48:19,Part time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",16 – 24,0/this is not applicable to me,8 – 16,8 – 16,0/this is not applicable to me,0/this is not applicable to me,2,6,5,5,6,3,Neither Agree nor Disagree,Somewhat satisfied,I feel somewhat supported,Somewhat satisfied,Tend to disagree,Tend to disagree,Female,18 - 24
11/1/2023 18:50:36,Full time - Postgraduate,Year 1,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,<8,0/this is not applicable to me,<8,<8,0/this is not applicable to me,1 - most impacted,4,1 - most impacted,5,6,2,Strongly Agree,Very satisfied,I feel somewhat supported,Very satisfied,Strongly agree,Tend to disagree,Male,24 - 30
11/1/2023 21:19:31,Full time - Undergraduate,Year 1,"STEM (Science, Technology, Engineering and Math)",40+,0/this is not applicable to me,0/this is not applicable to me,8 – 16,<8,0/this is not applicable to me,1 - most impacted,6,3,4,5,2,Neither Agree nor Disagree,Somewhat satisfied,I feel neither supported nor un supported,Somewhat satisfied,Tend to disagree,Tend to disagree,Male,18 - 24
11/1/2023 21:20:14,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,<8,<8,8 – 16,0/this is not applicable to me,2,4,6,3,1 - most impacted,5,Agree,Dissatisfied,I feel somewhat supported,Somewhat satisfied,Neither agree nor disagree,Strongly disagree,Male,18 - 24
11/1/2023 21:32:51,Full time - Postgraduate,Year 3,Arts & Humanities,0/this is not applicable to me,0/this is not applicable to me,<8,<8,<8,0/this is not applicable to me,1 - most impacted,6,3,2,5,4,Disagree,Strongly dissatisfied,I feel the support is entirely inadequate,Strongly dissatisfied,Neither agree nor disagree,Strongly disagree,Male,18 - 24
11/1/2023 21:52:53,Full time - Undergraduate,Year 1,"STEM (Science, Technology, Engineering and Math)",<8,16 – 24,16 – 24,32 – 40,24 – 32,8 – 16,3,3,5,2,4,3,Agree,Neither satisfied or dissatisfied,I feel somewhat supported,Somewhat satisfied,Tend to disagree,Strongly disagree,Male,18 - 24
11/1/2023 21:59:56,Full time - Undergraduate,Year 2,"STEM (Science, Technology, Engineering and Math)",16 – 24,0/this is not applicable to me,0/this is not applicable to me,<8,0/this is not applicable to me,8 – 16,2,2,3,2,4,2,Neither Agree nor Disagree,Somewhat satisfied,I feel very supported,Somewhat satisfied,Tend to disagree,Neither agree nor disagree,Female,18 - 24
11/1/2023 22:05:32,Full time - Undergraduate,Year 2,Other,<8,0/this is not applicable to me,<8,8 – 16,0/this is not applicable to me,0/this is not applicable to me,6,3,2,3,6,2,Neither Agree nor Disagree,Somewhat satisfied,I feel neither supported nor un supported,Somewhat satisfied,Tend to disagree,Tend to disagree,Male,18 - 24
11/2/2023 0:26:18,Full time - Undergraduate,Year 3,Arts & Humanities,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,16 – 24,24 – 32,32 – 40,6,6,1 - most impacted,6,6,3,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel neither supported nor un supported,Somewhat satisfied,Tend to agree,Tend to agree,Male,18 - 24
11/2/2023 12:16:34,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",8 – 16,8 – 16,0/this is not applicable to me,<8,<8,0/this is not applicable to me,6,2,4,4,4,6,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel somewhat supported,Somewhat satisfied,Strongly agree,Strongly agree,Male,18 - 24
11/2/2023 12:57:22,Part time - Postgraduate,Year 2,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,<8,0/this is not applicable to me,<8,2,2,2,1 - most impacted,1 - most impacted,2,Neither Agree nor Disagree,Dissatisfied,I feel like the support is somewhat inadequate,Dissatisfied,Tend to disagree,Tend to disagree,Female,40+
11/2/2023 13:59:48,Full time - Undergraduate,Year 4+,"STEM (Science, Technology, Engineering and Math)",16 – 24,0/this is not applicable to me,0/this is not applicable to me,24 – 32,0/this is not applicable to me,0/this is not applicable to me,2,5,2,6,6,2,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel somewhat supported,Dissatisfied,Strongly disagree,Strongly agree,Male,24 - 30
11/2/2023 16:24:56,Non-Student,,Other,,,,,,,,,,,,,,,,,,,,
11/2/2023 16:35:55,Non-Student,Year 4+,Arts & Humanities,,,,,,,,,,,,,,,,,,,,
11/2/2023 16:36:27,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,8 – 16,0/this is not applicable to me,0/this is not applicable to me,2,4,2,1 - most impacted,4,1 - most impacted,Strongly Disagree,Neither satisfied or dissatisfied,I feel somewhat supported,Neither satisfied or dissatisfied,Tend to disagree,Strongly disagree,Female,18 - 24
11/2/2023 16:36:37,Part time - Undergraduate,Year 0 - Foundation year,"STEM (Science, Technology, Engineering and Math)",24 – 32,16 – 24,24 – 32,8 – 16,24 – 32,24 – 32,3,6,3,5,2,5,Neither Agree nor Disagree,Somewhat satisfied,I feel somewhat supported,Somewhat satisfied,Tend to agree,Tend to agree,Non-binary,24 - 30
11/2/2023 16:44:27,Full time - Undergraduate,Year 0 - Foundation year,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,<8,8 – 16,0/this is not applicable to me,4,5,3,2,2,1 - most impacted,Strongly Agree,Somewhat satisfied,I feel very supported,Very satisfied,Tend to agree,Tend to agree,Male,18 - 24
11/2/2023 16:56:46,Part time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",8 – 16,0/this is not applicable to me,0/this is not applicable to me,<8,<8,8 – 16,2,1 - most impacted,2,2,2,5,Strongly Disagree,Dissatisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Male,18 - 24
11/2/2023 17:10:08,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",16 – 24,0/this is not applicable to me,0/this is not applicable to me,40+,0/this is not applicable to me,40+,6,3,3,6,3,3,Neither Agree nor Disagree,Strongly dissatisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Strongly agree,Neither agree nor disagree,Male,24 - 30
11/2/2023 17:11:20,Full time - Postgraduate,Year 1,Other,0/this is not applicable to me,8 – 16,<8,0/this is not applicable to me,<8,0/this is not applicable to me,5,2,3,3,1 - most impacted,3,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel somewhat supported,Very satisfied,Neither agree nor disagree,Strongly agree,Male,18 - 24
11/2/2023 17:12:26,Full time - Undergraduate,Year 4+,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,5,1 - most impacted,2,3,6,4,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Strongly disagree,Neither agree nor disagree,Female,18 - 24
11/2/2023 17:19:13,Full time - Undergraduate,Year 3,Arts & Humanities,8 – 16,16 – 24,0/this is not applicable to me,8 – 16,0/this is not applicable to me,16 – 24,3,3,3,3,3,3,Strongly Agree,Somewhat satisfied,I feel very supported,Somewhat satisfied,Strongly agree,Strongly disagree,Male,18 - 24
11/2/2023 17:20:27,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",<8,0/this is not applicable to me,<8,<8,<8,0/this is not applicable to me,4,5,2,3,1 - most impacted,6,Neither Agree nor Disagree,Dissatisfied,I feel somewhat supported,Somewhat satisfied,Tend to agree,Tend to disagree,Female,18 - 24
11/2/2023 17:21:01,Part time - Postgraduate,Year 1,"STEM (Science, Technology, Engineering and Math)",<8,<8,<8,<8,<8,<8,2,2,2,2,2,2,Agree,,I feel very supported,Very satisfied,Strongly agree,Tend to agree,Female,30 - 40
11/2/2023 17:21:09,Full time - Postgraduate,Year 1,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,8 – 16,<8,0/this is not applicable to me,<8,3,2,3,2,2,2,Neither Agree nor Disagree,Somewhat satisfied,I feel very supported,Very satisfied,Tend to agree,Tend to agree,Female,18 - 24
11/2/2023 17:21:51,Part time - Postgraduate,Year 1,"STEM (Science, Technology, Engineering and Math)",24 – 32,8 – 16,24 – 32,8 – 16,16 – 24,8 – 16,4,5,5,4,6,5,Agree,Neither satisfied or dissatisfied,I feel somewhat supported,Somewhat satisfied,Tend to disagree,Tend to agree,Female,24 - 30
11/3/2023 11:29:18,Full time - Undergraduate,Year 3,Arts & Humanities,8 – 16,0/this is not applicable to me,0/this is not applicable to me,<8,<8,<8,1 - most impacted,3,4,5,2,6,Neither Agree nor Disagree,Dissatisfied,I feel somewhat supported,Somewhat satisfied,Tend to disagree,Tend to disagree,Female,18 - 24
11/3/2023 12:16:59,Full time - Postgraduate,Year 1,"STEM (Science, Technology, Engineering and Math)",32 – 40,<8,0/this is not applicable to me,24 – 32,0/this is not applicable to me,8 – 16,3,4,3,2,3,3,Neither Agree nor Disagree,Somewhat satisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Tend to agree,Tend to agree,Female,24 - 30
11/3/2023 12:16:59,Full time - Undergraduate,Year 1,"STEM (Science, Technology, Engineering and Math)",24 – 32,0/this is not applicable to me,<8,<8,<8,0/this is not applicable to me,2,6,2,6,6,4,Neither Agree nor Disagree,Dissatisfied,I feel neither supported nor un supported,Dissatisfied,Tend to agree,Tend to agree,Female,24 - 30
11/3/2023 12:19:16,Full time - Postgraduate,Year 4+,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,4,1 - most impacted,1 - most impacted,4,4,4,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel very supported,Somewhat satisfied,Tend to disagree,Strongly agree,Female,18 - 24
11/3/2023 12:20:02,Full time - Postgraduate,Year 1,"STEM (Science, Technology, Engineering and Math)",16 – 24,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,40+,4,4,2,1 - most impacted,3,4,Strongly Disagree,Dissatisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Strongly disagree,Neither agree nor disagree,Non-binary,40+
11/3/2023 12:38:16,Full time - Postgraduate,Year 1,Other,16 – 24,40+,16 – 24,8 – 16,0/this is not applicable to me,0/this is not applicable to me,4,4,4,2,4,4,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel somewhat supported,Somewhat satisfied,Neither agree nor disagree,Strongly agree,Female,30 - 40
11/4/2023 9:11:59,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",16 – 24,0/this is not applicable to me,0/this is not applicable to me,16 – 24,<8,8 – 16,2,3,1 - most impacted,2,2,3,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Tend to disagree,Tend to agree,Male,18 - 24
11/4/2023 11:06:05,Full time - Undergraduate,Year 3,Other,8 – 16,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,8 – 16,3,3,2,1 - most impacted,3,1 - most impacted,Strongly Disagree,Strongly dissatisfied,I feel the support is entirely inadequate,Strongly dissatisfied,Tend to agree,Strongly agree,Male,24 - 30
11/16/2023 13:00:37,Full time - Postgraduate,Year 1,"STEM (Science, Technology, Engineering and Math)",<8,8 – 16,8 – 16,16 – 24,8 – 16,8 – 16,2,4,6,2,2,3,Strongly Disagree,Dissatisfied,I feel like the support is somewhat inadequate,Dissatisfied,Tend to disagree,Tend to agree,Prefer not to say,30 - 40